deduce 推理
burdensome 繁重的
intricate 错综复杂的
parachute 降落伞，保护伞
tremble 颤抖;颤动;
homogenize 均匀化，使统一
desperate 不顾一切的
thermostat 温度自动调节器;恒温器
intuitive 直觉的
grievance 冤屈；抱怨
unaccountably 莫名其妙地;不可理解地
collaborate 合作，协作
renowned 著名的;闻名的;有名的;受尊敬的
weight with 有影响
eminent 卓越的，著名的，显赫的;非凡的;杰出的
perpetual 永恒的，持续的，长久的
encounter 遭遇
conspicuous 显而易见的
depict 描绘
bipedal 两足行走的
infringe 违反，侵犯
peculiarity 特性
susceptible 易受影响;敏感;善感的
onward 从...开始一直
pressing 迫切的
lag 滞后
stamina 耐力
weight against 权衡
chronic 长期的，慢性的
compliance 服从，遵从
penalize 惩罚
dismiss 解雇
