incompatible 不相容的，不能并存的
vulgar 庸俗的
settle for 勉强接受
thereby 从而
slice 薄片
stakeholder 有发言权的
sermon 说教
surplus 剩余
recession 经济衰退;经济萎缩;退后;撤回
lodging 寄宿处，租住的房间
freight 货运，寄送
frenzied 狂热的
deduce 推理
reckon 估计，认为
integrate 合并;整合
paradoxical 似是而非的
mitochondria 线粒体的
encompass 包含，包括
overlap 重叠
compliance 服从，遵从
defective 有缺陷的
innate 天生的
envision 想象，设想
booth 摊位，(电话)亭，小房间
viable 可行的;可实施的;能独立发展的;
pervasive 普遍的
indices (index复数)指标
other than 不同于，除了
prevail 盛行
prefrontal 额叶前部的
whereby 由此;借以;凭此;由于
phony 伪造的;假的;虚伪的;做作的
virtuosity 精湛技艺
