give away 赠送;丧失;泄露
combat 搏斗，反对
apprehensive 忧虑的
quest 追求
novelty 新奇的事物
fabulous 极好的，绝妙的
clamp down 镇压
bewildering 眼花缭乱的
superfluous 多余的，不必要的
inventory 库存，清单
compelling 引人入胜的;非常强烈的;不可抗拒的;令人信服的;强迫;
constituent 选民;成分;构成要素;组成的;
inherit 继承
duplicate 复制
in spite of 尽管
curb 控制
notorious 臭名昭著的
passive 消极的，被动的
at odds with 与...相矛盾
drawn-out 拖得太久的;冗长的
defensible 可辩解的，合乎情理的
cursory 粗略的
indict 起诉，控告
refute 驳斥，否认
courtship 求爱
dictate 命令，支配
preoccupation 思虑;长久思考的事情;心事重重;全神贯注
prosperity 成功，繁荣，富足
collection 收集，一群人，取走，聚集
humble 谦逊的;低下的;贬低;卑微的
satire 讽刺
vanity 虚荣
empirical 经验主义的
encompass 包含，包括
coverage 新闻报道
