undesirable 不受欢迎的;不想要的;
conscious 有意识的;意识到;自觉的
infection 感染，传染病
calorie 卡路里
poisonous 有毒的
intimate 亲密的，私人的
freight 货运，寄送
saturate 使湿透，使充满
imprison 受到限制
incidentally 顺便提一句
consolidation 合并，联合
incentive 激励;刺激;鼓励;奖励
elude 躲避;使达不到;使不理解
criteria 标准，准则
sovereignty 主权
wholesale 批发，大批地，大规模地
limb 肢;腿;翼;翅膀;肢解
insatiable 不知足的
viable 可行的;可实施的;能独立发展的;
way 方法;作风;样子;很远;大量;习俗
wager 赌博
clause 条款
canal 运河;灌溉渠;导管;食道;气管
secular 现世的，世俗的
articulate 明确表达;清楚说明;清楚的;清晰的
disguise 装扮;伪装;掩蔽
analogous 相似的
intricate 错综复杂的
degradation 退化，恶化
nutrient 营养
adjoining 相邻的
extract 摘录;提取;设法得到
garment 服装
deference 尊重，顺从
spontaneity 即兴行为
